;SIRET;ods_type_activite
0;3,02475E+13;Autres
1;3,0112E+13;Autres
2;3,02475E+13;Autres
3;3,08907E+13;Autres
4;3,06689E+13;Autres
5;3,10642E+13;Autres
6;3,09598E+13;Autres
7;3,11623E+13;Autres
8;3,13822E+13;Autres
9;3,18906E+13;Autres
10;3,14911E+13;Autres
11;3,18759E+13;Autres
12;3,18907E+13;Autres
13;3,18907E+13;Autres
14;3,18906E+13;Autres
15;3,21641E+13;Autres
16;3,3362E+13;Autres
17;3,28087E+13;Autres
18;3,23659E+13;Autres
19;3,3414E+13;Autres
20;3,30106E+13;Autres
21;3,24446E+13;Autres
22;3,41215E+13;Autres
23;3,30704E+13;Autres
24;3,33661E+13;Autres
25;3,42476E+13;Autres
26;3,33481E+13;Autres
27;3,33696E+13;Autres
28;3,43263E+13;Autres
29;3,33659E+13;Autres
30;3,37491E+13;Autres
31;3,43263E+13;Autres
32;3,34224E+13;Autres
33;3,42139E+13;Autres
34;3,44494E+13;Autres
35;3,37988E+13;Autres
36;3,43829E+13;Autres
37;3,4513E+13;Autres
38;3,40019E+13;Autres
39;3,44378E+13;Autres
40;3,45253E+13;Autres
41;3,40019E+13;Autres
42;3,44378E+13;Autres
43;3,48032E+13;Autres
44;3,40293E+13;Autres
45;3,4847E+13;Autres
46;3,52616E+13;Autres
47;3,41574E+13;Autres
48;3,50109E+13;Autres
49;3,79225E+13;Autres
50;3,43263E+13;Autres
51;3,50555E+13;Autres
52;3,79941E+13;Autres
53;3,43263E+13;Autres
54;3,50758E+13;Autres
55;3,81236E+13;Autres
56;3,49259E+13;Autres
57;3,51101E+13;Autres
58;3,9292E+13;Autres
59;3,49324E+13;Autres
60;3,51876E+13;Autres
61;3,9355E+13;Autres
62;3,52928E+13;Autres
63;3,53802E+13;Autres
64;3,97875E+13;Autres
65;3,53691E+13;Autres
66;3,78019E+13;Autres
67;4,01896E+13;Autres
68;3,79089E+13;Autres
69;3,7986E+13;Autres
70;4,04567E+13;Autres
71;3,82685E+13;Autres
72;3,80678E+13;Autres
73;4,05009E+13;Autres
74;3,83353E+13;Autres
75;3,82758E+13;Autres
76;4,05208E+13;Autres
77;3,83492E+13;Autres
78;3,828E+13;Autres
79;4,07523E+13;Autres
80;3,83881E+13;Autres
81;3,83492E+13;Autres
82;4,08743E+13;Autres
83;3,85272E+13;Autres
84;3,88294E+13;Autres
85;4,12129E+13;Autres
86;3,88747E+13;Autres
87;3,8869E+13;Autres
88;4,13556E+13;Autres
89;3,91067E+13;Autres
90;3,89314E+13;Autres
91;4,15017E+13;Autres
92;3,91553E+13;Autres
93;3,89615E+13;Autres
94;4,17713E+13;Autres
95;3,92074E+13;Autres
96;3,92657E+13;Autres
97;4,17768E+13;Autres
98;3,92732E+13;Autres
99;3,931E+13;Autres
100;4,18691E+13;Autres
101;3,92885E+13;Autres
102;3,97654E+13;Autres
103;4,19695E+13;Autres
104;3,94961E+13;Autres
105;4,00649E+13;Autres
106;4,20975E+13;Autres
107;3,95068E+13;Autres
108;4,08089E+13;Autres
109;4,21641E+13;Autres
110;3,9769E+13;Autres
111;4,08617E+13;Autres
112;4,21702E+13;Autres
113;4,00433E+13;Autres
114;4,0941E+13;Autres
115;4,22359E+13;Autres
116;4,01386E+13;Autres
117;4,10409E+13;Autres
118;4,22619E+13;Autres
119;4,01386E+13;Autres
120;4,10409E+13;Autres
121;4,23263E+13;Autres
122;4,01533E+13;Autres
123;4,10409E+13;Autres
124;4,23733E+13;Autres
125;4,13123E+13;Autres
