id_etablissement;id_activite
0;0
1;1
2;2
3;0
4;0
5;3
6;4
7;5
8;1
9;4
10;4
11;1
12;0
13;4
14;4
15;0
16;6
17;0
18;7
19;2
20;2
21;0
22;2
23;1
24;0
25;2
26;2
27;1
25;0
28;8
29;1
30;0
31;1
32;0
33;0
34;0
35;0
36;0
34;2
35;6
37;2
38;9
39;2
40;6
41;4
42;0
43;10
25;11
44;10
45;1
46;4
47;4
48;2
49;4
50;1
51;0
52;4
53;4
54;2
55;1
56;0
57;4
58;4
59;1
60;4
61;2
62;0
63;5
64;1
65;1
66;4
67;4
68;4
69;8
70;0
71;2
72;4
69;0
73;2
74;4
75;0
76;4
77;2
78;10
79;1
80;0
81;10
82;4
83;0
84;1
85;4
86;4
87;0
88;0
89;1
90;4
91;0
92;4
93;10
94;0
95;6
96;4
97;1
98;4
99;1
100;2
101;10
102;4
103;4
104;1
105;4
106;2
107;4
108;8
109;2
108;6
110;10
111;12
112;1
113;1
114;11
115;1
116;4
114;0
108;0
117;0
118;0
119;0
120;4
121;4
122;0
123;1
124;1
125;1
126;4
127;10
128;1
129;4
130;4
131;10
132;1
117;8
133;4
134;0
114;2
135;1
119;3
136;4
137;4
138;4
139;0
140;1
141;4
142;10
143;0
144;6
145;1
146;10
147;2
148;4
149;4
150;6
151;4
152;6
153;1
154;4
152;0
155;4
156;0
157;4
158;0
159;0
160;4
161;1
162;4
163;2
164;1
114;6
165;0
166;4
167;1
168;2
169;4
170;4
171;4
172;4
173;1
174;1
175;0
149;1
176;4
177;4
178;1
179;1
180;4
152;8
181;10
182;1
183;4
184;1
185;1
186;10
187;0
188;1
189;4
190;10
191;0
192;4
193;1
194;1
195;6
196;1
197;4
198;1
199;4
200;4
201;4
202;1
203;4
204;1
205;0
206;1
207;4
208;4
209;4
210;4
211;0
212;4
213;4
214;0
215;4
216;0
217;4
218;1
219;1
220;1
221;4
222;1
223;9
224;4
225;4
226;1
227;5
228;10
229;4
230;4
231;1
232;0
233;0
234;10
235;0
236;4
237;1
238;1
239;4
240;1
241;0
242;0
243;1
244;4
245;10
246;4
247;1
248;2
249;1
250;4
249;0
251;1
252;2
253;4
254;10
255;2
256;1
257;1
258;4
259;1
260;1
261;4
262;4
263;1
264;1
265;10
266;4
267;4
268;4
269;1
270;1
271;2
272;10
273;1
274;4
275;4
276;4
277;0
278;0
279;0
280;4
281;4
282;1
283;4
284;2
285;4
286;4
287;4
288;4
289;1
290;6
291;4
292;4
293;0
294;1
295;1
296;1
297;2
298;4
299;0
300;1
301;1
302;1
303;4
304;0
305;0
306;0
307;1
308;1
309;10
310;0
311;1
312;0
313;4
314;4
315;4
316;1
317;4
318;2
319;4
320;0
321;0
322;10
323;4
324;0
325;0
326;4
327;4
328;1
329;2
330;4
331;0
332;4
333;1
334;0
335;0
336;4
337;1
338;0
339;10
340;0
341;0
342;4
343;1
344;2
345;4
346;1
347;4
348;4
349;4
350;1
351;0
352;4
353;10
354;1
355;1
356;2
357;5
358;1
359;4
360;2
361;0
362;4
363;9
364;1
365;4
366;1
367;1
368;2
369;0
370;1
371;1
372;4
373;4
374;4
375;1
376;10
377;10
378;4
344;10
379;0
380;1
381;0
382;1
383;4
384;4
385;12
386;4
387;1
388;1
389;4
390;1
391;1
392;10
393;4
394;4
395;5
396;0
397;1
398;2
399;4
400;4
401;1
402;1
403;6
404;0
405;4
406;4
407;1
408;2
409;10
410;1
411;0
412;9
413;10
414;4
415;1
416;1
417;0
418;4
419;4
420;4
421;1
422;0
423;1
424;10
425;0
426;4
427;0
428;1
429;2
430;4
431;1
432;0
433;4
434;4
435;4
436;1
437;4
438;4
439;4
440;0
441;6
442;0
443;1
444;1
445;4
446;4
447;4
386;0
448;4
449;2
450;1
451;4
452;4
453;2
454;2
455;12
456;4
402;2
457;1
458;6
459;10
460;4
461;2
462;1
463;1
464;4
465;1
466;1
467;1
468;2
469;1
470;4
471;1
472;0
473;1
474;4
475;4
476;4
477;1
478;2
479;2
480;1
481;1
482;2
483;2
484;2
485;4
486;4
487;10
488;4
489;2
490;4
491;4
492;0
493;1
494;4
495;4
496;0
497;4
498;1
499;4
500;4
501;1
502;4
503;4
504;4
505;4
506;1
507;1
508;4
509;2
510;1
511;1
512;4
513;0
514;2
515;2
516;2
517;1
518;2
519;0
520;4
521;10
522;2
523;1
524;7
525;4
526;1
527;4
528;1
529;1
530;5
531;4
532;4
533;1
534;4
535;0
536;4
537;4
538;0
539;1
540;1
541;4
542;4
543;4
544;2
545;1
546;1
547;4
548;4
549;4
550;1
551;0
552;1
553;10
554;2
555;2
556;4
557;1
558;0
559;1
560;4
561;0
562;2
563;4
515;1
564;1
565;0
566;10
567;1
568;0
569;4
570;1
571;1
572;4
573;1
574;4
575;4
576;0
577;1
578;1
579;1
580;4
581;4
582;1
583;10
584;1
585;4
586;2
587;4
588;0
589;0
590;2
591;10
592;10
593;1
594;0
595;10
596;1
597;4
598;1
599;2
600;1
601;0
602;1
603;1
604;4
605;0
606;4
607;1
608;1
609;0
610;1
611;2
612;4
613;0
614;2
615;5
616;4
617;4
618;1
619;1
620;0
621;4
622;4
623;10
624;1
625;4
626;4
627;1
628;2
629;1
630;4
631;1
632;1
633;1
634;4
635;1
636;4
637;1
638;4
639;5
640;4
641;1
642;0
643;1
644;1
645;1
646;7
647;1
648;1
649;2
650;0
651;1
652;1
653;4
654;4
655;4
656;4
657;4
658;4
659;1
660;1
661;0
662;4
663;1
664;1
665;4
666;4
667;1
668;5
669;0
670;4
671;0
672;4
673;9
674;4
675;0
676;4
677;4
678;0
679;4
680;4
681;1
682;4
683;1
684;4
685;4
686;4
687;0
688;4
689;2
690;4
691;2
692;10
693;4
694;0
695;6
696;4
697;1
698;4
699;1
700;4
701;2
702;4
703;4
704;1
705;4
706;1
707;4
708;4
709;1
710;1
711;1
712;1
713;4
714;4
715;1
716;1
717;0
718;2
719;2
720;1
721;10
722;1
723;2
724;4
725;4
726;5
727;0
728;1
729;1
730;2
731;4
732;1
733;12
734;1
735;4
736;1
737;1
738;4
739;1
740;4
741;4
742;1
743;4
744;11
745;0
746;10
747;10
748;4
749;4
750;4
751;4
752;1
753;4
754;4
755;4
756;1
757;2
758;1
759;13
760;10
761;1
762;0
763;2
764;2
765;1
766;2
767;2
768;6
769;1
770;4
771;1
772;4
773;0
774;0
775;6
776;1
777;1
778;0
779;10
780;1
781;10
782;1
783;0
784;1
785;1
786;4
787;1
788;4
789;0
790;0
791;4
792;1
793;1
794;1
795;1
796;1
797;1
798;10
799;0
800;4
801;1
802;4
803;0
804;10
805;4
806;4
807;0
808;1
809;1
810;4
811;1
812;1
813;1
814;1
815;1
816;1
817;0
818;1
819;4
820;4
821;10
822;1
823;2
824;0
825;1
826;4
827;1
828;1
829;1
830;4
831;0
832;4
833;4
834;1
835;2
836;1
837;1
838;1
839;1
840;0
841;4
759;2
842;0
843;4
844;2
845;2
846;4
847;4
848;4
849;4
850;4
851;4
852;0
853;5
854;1
855;4
856;1
857;2
858;2
859;0
860;1
861;4
862;0
863;1
864;4
865;1
866;4
867;5
868;4
869;10
870;4
871;1
872;4
873;1
874;1
875;1
876;1
877;0
878;4
879;4
880;1
881;1
882;1
883;2
884;1
885;2
886;1
887;0
888;1
889;0
890;1
891;1
892;4
893;1
894;0
895;4
893;4
896;1
897;4
898;1
899;2
900;4
901;4
902;2
903;11
904;1
905;4
906;4
907;0
908;1
909;0
910;10
911;2
912;0
913;0
914;1
915;1
916;1
917;1
918;1
919;1
920;1
921;1
922;1
923;1
924;4
925;1
926;10
927;4
928;0
929;4
930;10
931;1
932;2
933;2
934;1
935;4
933;11
936;0
937;2
938;2
939;1
940;1
941;6
942;0
943;1
944;1
945;4
946;0
947;4
948;0
949;4
950;1
951;4
952;4
953;2
954;0
955;1
956;1
957;4
958;1
886;2
959;4
960;1
961;0
962;2
963;4
964;2
965;4
966;4
967;7
968;4
969;4
970;0
971;1
972;1
973;4
974;2
975;4
976;1
977;1
978;1
979;5
980;1
981;0
982;4
983;1
984;4
985;0
986;4
987;4
988;1
989;1
990;10
991;4
992;1
993;1
994;0
995;1
996;10
997;1
998;0
999;0
1000;1
1001;9
1002;2
1003;4
1004;1
1005;2
1006;1
1007;4
1008;4
1009;0
1010;4
1011;1
1012;4
1013;1
1014;2
1015;1
1016;2
1017;2
1018;0
883;0
1019;11
1020;10
1021;1
1022;2
1023;1
1024;4
1025;14
1026;10
1027;1
1028;1
1029;2
1030;2
1031;15
1032;2
1033;4
1034;16
1035;4
1036;0
1037;17
1038;4
1039;1
