;SIRET;APP_Libelle_activite_etablissement
0;3,0112E+13;Restaurant
1;3,08907E+13;_
2;3,06689E+13;Alimentation générale
3;3,10642E+13;Alimentation générale
4;3,09598E+13;Rayon pain-viennoiserie-pâtisserie
5;3,11623E+13;Boulangerie-Pâtisserie
6;3,13822E+13;Traiteur
7;3,14911E+13;Boulangerie-Pâtisserie
8;3,18759E+13;Boulangerie-Pâtisserie
9;3,21641E+13;Alimentation générale
10;3,3362E+13;Boulangerie-Pâtisserie
11;3,28087E+13;Boulangerie-Pâtisserie
12;3,23659E+13;Alimentation générale
13;3,3414E+13;Rayon boucherie-charcuterie
14;3,30106E+13;Alimentation générale
15;3,24446E+13;Poissonnerie
16;3,41215E+13;_
17;3,30704E+13;_
18;3,33661E+13;Alimentation générale
19;3,42476E+13;_
20;3,33481E+13;Restaurant
21;3,33696E+13;Alimentation générale
22;3,43263E+13;_
23;3,33659E+13;_
24;3,37491E+13;Restaurant
25;3,34224E+13;Rayon poissonnerie
26;3,42139E+13;Restaurant
27;3,44494E+13;Alimentation générale
28;3,37988E+13;Restaurant
29;3,43829E+13;Alimentation générale
30;3,4513E+13;Alimentation générale
31;3,40019E+13;Alimentation générale
32;3,44378E+13;Alimentation générale
33;3,45253E+13;Alimentation générale
34;3,40019E+13;_
35;3,44378E+13;Rayon boucherie-charcuterie
36;3,48032E+13;_
37;3,40293E+13;Primeur
38;3,4847E+13;_
39;3,52616E+13;Rayon boucherie-charcuterie
40;3,41574E+13;Boulangerie-Pâtisserie
41;3,50109E+13;Alimentation générale
42;3,79225E+13;Boucherie-Charcuterie
43;3,43263E+13;Rayon fruits & légumes
44;3,50555E+13;Boucherie-Charcuterie
45;3,79941E+13;Restaurant
46;3,50758E+13;Boulangerie-Pâtisserie
47;3,81236E+13;Boulangerie-Pâtisserie
48;3,49259E+13;_
49;3,51101E+13;Boulangerie-Pâtisserie
50;3,9292E+13;Restaurant
51;3,49324E+13;Alimentation générale
52;3,51876E+13;Boulangerie-Pâtisserie
53;3,9355E+13;Boulangerie-Pâtisserie
54;3,52928E+13;_
55;3,53802E+13;Restaurant
56;3,97875E+13;Alimentation générale
57;3,53691E+13;Boulangerie-Pâtisserie
58;3,78019E+13;Boulangerie-Pâtisserie
59;4,01896E+13;Restaurant
60;3,79089E+13;Boulangerie-Pâtisserie
61;3,7986E+13;_
62;4,04567E+13;Alimentation générale
63;3,82685E+13;Traiteur
64;3,80678E+13;Restaurant
65;4,05009E+13;Restaurant
66;3,83353E+13;Boulangerie-Pâtisserie
67;3,82758E+13;Boulangerie-Pâtisserie
68;4,05208E+13;Boulangerie-Pâtisserie
69;3,83492E+13;Rayon poissonnerie
70;3,828E+13;Alimentation générale
71;4,07523E+13;_
72;3,83881E+13;Boulangerie-Pâtisserie
73;3,83492E+13;Alimentation générale
74;4,08743E+13;_
75;3,85272E+13;Boulangerie-Pâtisserie
76;3,88294E+13;Alimentation générale
77;4,12129E+13;Boulangerie-Pâtisserie
78;3,88747E+13;_
79;3,8869E+13;Boucherie-Charcuterie
80;4,13556E+13;Restaurant
81;3,91067E+13;Alimentation générale
82;3,89314E+13;Boucherie-Charcuterie
83;4,15017E+13;Boulangerie-Pâtisserie
84;3,91553E+13;Alimentation générale
85;3,89615E+13;Restaurant
86;4,17713E+13;Boulangerie-Pâtisserie
87;3,92074E+13;Boulangerie-Pâtisserie
88;3,92657E+13;Alimentation générale
89;4,17768E+13;Alimentation générale
90;3,92732E+13;Restaurant
91;3,931E+13;Boulangerie-Pâtisserie
92;4,18691E+13;Alimentation générale
93;3,92885E+13;Boulangerie-Pâtisserie
94;3,97654E+13;Boucherie-Charcuterie
95;4,19695E+13;Alimentation générale
96;3,94961E+13;Rayon boucherie-charcuterie
97;4,00649E+13;Boulangerie-Pâtisserie
98;4,20975E+13;Restaurant
99;3,95068E+13;Boulangerie-Pâtisserie
100;4,08089E+13;Restaurant
101;4,21641E+13;_
102;3,9769E+13;Boucherie-Charcuterie
103;4,08617E+13;Boulangerie-Pâtisserie
104;4,21702E+13;Boulangerie-Pâtisserie
105;4,00433E+13;Restaurant
106;4,0941E+13;Boulangerie-Pâtisserie
107;4,22359E+13;_
108;4,22619E+13;_
109;4,01386E+13;Boulangerie-Pâtisserie
110;4,23263E+13;Boucherie-Charcuterie
111;4,01533E+13;Chocolatier
112;4,23733E+13;Restaurant
113;4,13123E+13;Restaurant
114;4,28268E+13;Rayon fruits & légumes
115;4,03734E+13;Restaurant
116;4,14569E+13;Boulangerie-Pâtisserie
117;4,10409E+13;Alimentation générale
118;4,14599E+13;Alimentation générale
119;4,29047E+13;Alimentation générale
120;4,18171E+13;Alimentation générale
121;4,32524E+13;Boulangerie-Pâtisserie
122;4,11261E+13;Boulangerie-Pâtisserie
123;4,18704E+13;Alimentation générale
124;4,33017E+13;Restaurant
125;4,11463E+13;Restaurant
126;4,22491E+13;Restaurant
127;4,39504E+13;Boulangerie-Pâtisserie
128;4,13874E+13;Boucherie-Charcuterie
129;4,24004E+13;Restaurant
130;4,39707E+13;Boulangerie-Pâtisserie
131;4,14046E+13;Boulangerie-Pâtisserie
132;4,24294E+13;Boucherie-Charcuterie
133;4,39857E+13;Restaurant
134;4,14599E+13;Rayon poissonnerie
135;4,4273E+13;Boulangerie-Pâtisserie
136;4,15386E+13;Alimentation générale
137;4,28268E+13;_
138;4,42775E+13;Restaurant
139;4,18171E+13;Rayon pain-viennoiserie-pâtisserie
140;4,29072E+13;Boulangerie-Pâtisserie
141;4,43363E+13;Boulangerie-Pâtisserie
142;4,19305E+13;Boulangerie-Pâtisserie
143;4,32018E+13;Alimentation générale
144;4,19382E+13;Boulangerie-Pâtisserie
145;4,32856E+13;Boucherie-Charcuterie
146;4,47486E+13;Alimentation générale
147;4,21533E+13;Rayon boucherie-charcuterie
148;4,33988E+13;Restaurant
149;4,23428E+13;_
150;4,34894E+13;Boulangerie-Pâtisserie
151;4,49531E+13;Boulangerie-Pâtisserie
152;4,24025E+13;Rayon boucherie-charcuterie
153;4,34998E+13;Boulangerie-Pâtisserie
154;4,24173E+13;Restaurant
155;4,37809E+13;Boulangerie-Pâtisserie
156;4,24245E+13;Boulangerie-Pâtisserie
157;4,40169E+13;Alimentation générale
158;4,24754E+13;Boulangerie-Pâtisserie
159;4,40284E+13;Alimentation générale
160;4,51722E+13;Alimentation générale
161;4,25068E+13;Boulangerie-Pâtisserie
162;4,52233E+13;Boulangerie-Pâtisserie
163;4,43789E+13;_
164;4,52505E+13;Restaurant
165;4,44409E+13;Alimentation générale
166;4,53736E+13;Boulangerie-Pâtisserie
167;4,44935E+13;Restaurant
168;4,53994E+13;_
169;4,31454E+13;Boulangerie-Pâtisserie
170;4,47487E+13;Boulangerie-Pâtisserie
171;4,32238E+13;Boulangerie-Pâtisserie
172;4,48142E+13;Restaurant
173;4,78489E+13;Restaurant
174;4,38347E+13;Alimentation générale
175;4,78724E+13;Boulangerie-Pâtisserie
176;4,38402E+13;Boulangerie-Pâtisserie
177;4,79932E+13;Restaurant
178;4,38695E+13;Boulangerie-Pâtisserie
179;4,80377E+13;Boucherie-Charcuterie
180;4,39057E+13;Restaurant
181;4,82351E+13;Boulangerie-Pâtisserie
182;4,39626E+13;Restaurant
183;4,83131E+13;Restaurant
184;4,4312E+13;Boucherie-Charcuterie
185;4,51949E+13;Alimentation générale
186;4,83825E+13;Restaurant
187;4,45264E+13;Boulangerie-Pâtisserie
188;4,52126E+13;Boucherie-Charcuterie
189;4,8437E+13;Alimentation générale
190;4,48155E+13;Boulangerie-Pâtisserie
191;4,53726E+13;Restaurant
192;4,89078E+13;Restaurant
193;4,48518E+13;Rayon boucherie-charcuterie
194;4,81844E+13;Restaurant
195;4,89543E+13;Boulangerie-Pâtisserie
196;4,49901E+13;Restaurant
197;4,90257E+13;Boulangerie-Pâtisserie
198;4,50092E+13;Boulangerie-Pâtisserie
199;4,82518E+13;Restaurant
200;4,90313E+13;Boulangerie-Pâtisserie
201;4,51321E+13;Alimentation générale
202;4,83065E+13;Restaurant
203;4,90379E+13;Alimentation générale
204;4,52121E+13;Restaurant
205;4,8339E+13;Boulangerie-Pâtisserie
206;4,90818E+13;Boulangerie-Pâtisserie
207;4,5227E+13;Boulangerie-Pâtisserie
208;4,83583E+13;Boulangerie-Pâtisserie
209;4,94458E+13;Alimentation générale
210;4,5256E+13;Boulangerie-Pâtisserie
211;4,84151E+13;Boulangerie-Pâtisserie
212;4,94637E+13;Alimentation générale
213;4,84385E+13;Boulangerie-Pâtisserie
214;4,95196E+13;Alimentation générale
215;4,52744E+13;Boulangerie-Pâtisserie
216;4,87921E+13;Restaurant
217;4,95272E+13;Restaurant
218;4,77907E+13;Restaurant
219;4,89564E+13;Boulangerie-Pâtisserie
220;4,98753E+13;Restaurant
221;4,78012E+13;Primeur
