;APP_Libelle_activite_etablissement
0;Alimentation générale
1;Restaurant
2;_
3;Rayon pain-viennoiserie-pâtisserie
4;Boulangerie-Pâtisserie
5;Traiteur
6;Rayon boucherie-charcuterie
7;Poissonnerie
8;Rayon poissonnerie
9;Primeur
10;Boucherie-Charcuterie
11;Rayon fruits & légumes
12;Chocolatier
13;Rayon fromagerie
14;Restauration collective
15;Découpe de viande de boucherie
16;Transformation de lait ou produits laitiers
17;Transformation de produits de la pêche
18;Transport de denrées alimentaires
19;Libre service
20;Traiteur|Boucherie-Charcuterie
21;Chaîne d'abattage d'animaux boucherie/Gibier ongulé élevage
22;Mareyage et préparation de produits de la pêche
23;Alimentation générale|Rayon pain/viennoiserie/pâtisserie
24;Transformation de produits carnés
25;Chaîne d'abattage de volaille/lagomorphe/petit gibier
26;Purification/Expédition de coquillages
27;Centre d'emballage des oeufs
28;Producteur fermier
29;Fromagerie|Boucherie-Charcuterie
30;Libre service|Alimentation générale
31;Entreposage de produits laitiers
32;Entreposage de distribution de denrées alimentaires
33;Commerce alimentaire
34;Libre service|Alimentation générale|Boulangerie-Pâtisserie
35;Alimentation générale|Boulangerie-Pâtisserie
36;Rayon traiteur
37;Alimentation générale|Traiteur|Boucherie-Charcuterie
38;Production d'abats
39;Métier de bouche
40;Caves d'affinage
41;VH, VSM, préparation viandes boucherie
42;Entreposage de viande de volailles
43;Collecte de lait
44;Pêche de production primaire
45;Alimentation générale|Boucherie-Charcuterie
46;Découpe de fromages
47;Découpe de viandes de volailles/lagomorphe
48;Fromagerie
49;Découpe de gibier sauvage
50;Entreposage non spécialisé de denrées alimentaires
51;Boulangerie-Pâtisserie|Traiteur
52;Salle d'abattage à la ferme
53;Entreposage de produits de la pêche
54;VH, VSM, préparation viandes volailles lagomorphes
55;Production de produits à base d'escargots
56;Halle à M./1ére vente/Vente en gros produits de la pêche
57;Glacier
58;Rayon poissonnerie|Rayon fromagerie|Rayon boucherie-charcuterie
59;Boulangerie-Pâtisserie|Glacier
60;Production de produits à base de grenouilles
61;Production d'œuf liquide d'ovoproduit et produits à base œuf
62;Entreposage de viande de boucherie
63;Autres activités de remise directe
64;Déshydratation de lait ou produits laitiers
65;Traitement du gibier sauvage
66;Rayon poissonnerie|Rayon boucherie-charcuterie
67;Chocolatier|Boulangerie-Pâtisserie
68;Préparation de produits composés
69;Vivier produits de la pêche
70;Poissonnerie|Traiteur
71;Alimentation générale|Rayon boucherie-charcuterie
72;Libre service|Rayon poissonnerie
73;Rayon fromagerie|Rayon traiteur|Rayon boucherie-charcuterie
74;Fromagerie|Traiteur|Boucherie-Charcuterie
75;Fromagerie|Alimentation générale
76;Chocolatier|Boulangerie-Pâtisserie|Glacier
77;Rayon pain/viennoiserie/pâtisserie
78;Abattage de produits de l'aquaculture
79;Responsable de restauration collective
80;Vente en gros de viande de boucherie
81;Libre service|Rayon poissonnerie|Rayon fromagerie|Rayon pain/viennoiserie/pâtisserie|Rayon boucherie-charcuterie
82;Centre logistique de débarque de produits de la pêche
83;Libre service|Rayon boucherie-charcuterie
84;Rayon traiteur|Rayon boucherie-charcuterie
85;Alimentation générale|Poissonnerie
86;Rayon fromagerie|Rayon traiteur
87;Fromagerie|Libre service
