id_etablissement;id_hygiene;numero_inspection;date_inspection
0;0;15914760;2021-03-03T01:00:00+01:00
1;1;16252422;2021-11-26T01:00:00+01:00
0;1;15903092;2021-02-22T01:00:00+01:00
2;0;15901554;2021-02-19T01:00:00+01:00
3;0;15968279;2021-04-14T02:00:00+02:00
4;0;15922867;2021-03-04T01:00:00+01:00
5;1;16265073;2021-12-06T01:00:00+01:00
6;2;16207781;2021-10-20T02:00:00+02:00
7;0;15945799;2021-03-25T01:00:00+01:00
8;1;16019408;2021-05-31T02:00:00+02:00
9;0;16269102;2021-12-07T01:00:00+01:00
10;0;16056536;2021-06-25T02:00:00+02:00
11;1;16264757;2021-11-30T01:00:00+01:00
11;1;16086941;2021-07-13T02:00:00+02:00
8;1;16138735;2021-08-26T02:00:00+02:00
12;0;15961079;2021-04-08T02:00:00+02:00
13;0;16014246;2021-05-25T02:00:00+02:00
14;0;16207450;2021-10-19T02:00:00+02:00
15;0;16141289;2021-08-27T02:00:00+02:00
16;0;15857651;2021-01-18T01:00:00+01:00
17;1;16064866;2021-07-01T02:00:00+02:00
18;2;16201700;2021-10-14T02:00:00+02:00
19;1;15982562;2021-04-27T02:00:00+02:00
20;0;16064529;2021-06-30T02:00:00+02:00
21;2;15938127;2021-03-18T01:00:00+01:00
22;1;15927845;2021-03-11T01:00:00+01:00
23;0;16088031;2021-07-16T02:00:00+02:00
24;1;16051490;2021-06-22T02:00:00+02:00
25;1;15930031;2021-03-15T01:00:00+01:00
26;1;16254875;2021-11-29T01:00:00+01:00
27;0;16079660;2021-07-06T02:00:00+02:00
25;1;15930035;2021-03-15T01:00:00+01:00
28;0;16202746;2021-10-14T02:00:00+02:00
29;0;16121390;2021-07-13T02:00:00+02:00
30;0;15992116;2021-05-04T02:00:00+02:00
31;0;15867576;2021-01-26T01:00:00+01:00
32;0;15903661;2021-02-19T01:00:00+01:00
33;0;15929704;2021-03-10T01:00:00+01:00
34;0;15943743;2021-03-24T01:00:00+01:00
35;1;15877888;2021-02-02T01:00:00+01:00
36;0;15936530;2021-03-18T01:00:00+01:00
34;0;16009411;2021-05-20T02:00:00+02:00
35;1;15877883;2021-02-02T01:00:00+01:00
37;0;15869027;2021-01-27T01:00:00+01:00
38;1;15972755;2021-04-15T02:00:00+02:00
39;0;16132885;2021-08-20T02:00:00+02:00
40;0;15886670;2021-02-08T01:00:00+01:00
41;1;16120557;2021-08-10T02:00:00+02:00
42;0;15897586;2021-02-08T01:00:00+01:00
43;0;15898944;2021-02-17T01:00:00+01:00
25;1;15930027;2021-03-15T01:00:00+01:00
44;0;16025737;2021-05-18T02:00:00+02:00
45;1;16241280;2021-11-19T01:00:00+01:00
25;0;16117444;2021-08-06T02:00:00+02:00
46;2;16161807;2021-09-15T02:00:00+02:00
47;1;15922044;2021-03-09T01:00:00+01:00
48;1;15876177;2021-02-02T01:00:00+01:00
49;0;15849305;2021-01-11T01:00:00+01:00
50;0;16271219;2021-12-08T01:00:00+01:00
51;0;15887765;2021-02-09T01:00:00+01:00
52;1;16197589;2021-10-12T02:00:00+02:00
53;0;15971105;2021-04-14T02:00:00+02:00
54;2;16153696;2021-09-09T02:00:00+02:00
55;0;16210718;2021-10-21T02:00:00+02:00
56;2;16092087;2021-07-20T02:00:00+02:00
57;0;16011153;2021-05-25T02:00:00+02:00
58;0;15916359;2021-03-04T01:00:00+01:00
59;2;16155642;2021-09-06T02:00:00+02:00
60;0;16095357;2021-07-21T02:00:00+02:00
61;0;16015057;2021-05-26T02:00:00+02:00
62;0;16105320;2021-07-28T02:00:00+02:00
63;0;16026765;2021-06-04T02:00:00+02:00
64;0;16250550;2021-11-24T01:00:00+01:00
65;0;16062722;2021-06-30T02:00:00+02:00
66;1;16002943;2021-05-11T02:00:00+02:00
67;2;16235520;2021-11-16T01:00:00+01:00
68;1;15847461;2021-01-07T01:00:00+01:00
69;1;15965653;2021-04-08T02:00:00+02:00
70;1;15875981;2021-01-25T01:00:00+01:00
71;1;16159183;2021-09-07T02:00:00+02:00
72;1;16041735;2021-06-15T02:00:00+02:00
69;1;15967279;2021-04-08T02:00:00+02:00
73;0;15893668;2021-02-12T01:00:00+01:00
74;2;15894396;2021-02-05T01:00:00+01:00
75;0;15915037;2021-03-01T01:00:00+01:00
76;0;16017310;2021-05-28T02:00:00+02:00
77;1;16131457;2021-08-18T02:00:00+02:00
78;2;16241332;2021-11-19T01:00:00+01:00
79;2;15999137;2021-05-06T02:00:00+02:00
80;0;15979543;2021-04-21T02:00:00+02:00
