id_etablissement;id_activite;id_type_activite;code_postal;agrement;niveau_hygiene
0;0;0;92;;0
0;19;0;92;;0
0;31;0;92;;0
1;1;0;69;;1
0;0;0;92;;1
0;19;0;92;;1
0;31;0;92;;1
2;2;0;78;;0
3;19;0;94;;0
3;0;0;94;;0
4;0;0;92;;0
5;6;0;29;;1
5;3;0;29;;1
6;4;0;73;;2
7;5;0;69;;0
8;1;0;69;;1
9;4;0;29;;0
10;4;0;29;;0
11;1;0;69;;1
11;1;0;69;;1
8;1;0;69;;1
12;6;0;29;;0
12;0;0;29;;0
13;4;0;78;;0
14;4;0;29;;0
15;0;0;92;;0
16;6;0;14;;0
17;0;0;92;;1
18;7;0;92;;2
19;2;0;78;;1
20;2;0;73;;0
21;0;0;92;;2
22;2;0;71;;1
23;1;0;63;;0
24;0;0;91;;1
25;0;0;80;;1
25;0;4;80;;1
25;19;0;80;;1
25;19;4;80;;1
25;6;0;80;;1
25;6;4;80;;1
25;13;0;80;;1
25;13;4;80;;1
25;8;0;80;;1
25;8;4;80;;1
25;22;0;80;;1
25;22;4;80;;1
25;30;0;80;;1
25;30;4;80;;1
25;11;0;80;;1
25;11;4;80;;1
25;2;0;80;;1
25;2;4;80;;1
26;2;0;29;;1
27;1;0;69;;0
25;0;0;80;;1
25;0;4;80;;1
25;19;0;80;;1
25;19;4;80;;1
25;6;0;80;;1
25;6;4;80;;1
25;13;0;80;;1
25;13;4;80;;1
25;8;0;80;;1
25;8;4;80;;1
25;22;0;80;;1
25;22;4;80;;1
25;30;0;80;;1
25;30;4;80;;1
25;11;0;80;;1
25;11;4;80;;1
25;2;0;80;;1
25;2;4;80;;1
28;8;0;95;;0
29;1;0;78;;0
30;0;0;95;;0
31;1;0;78;;0
32;0;0;92;;0
33;0;0;92;;0
34;1;0;92;;0
34;2;0;92;;0
34;0;0;92;;0
35;6;0;92;;1
35;0;0;92;;1
36;0;0;92;;0
34;1;0;92;;0
34;2;0;92;;0
34;0;0;92;;0
35;6;0;92;;1
35;0;0;92;;1
37;2;0;80;;0
38;9;0;71;;1
39;2;0;94;;0
40;6;0;14;;0
41;4;0;73;;1
42;0;0;94;;0
43;1;0;92;;0
43;10;0;92;;0
25;0;0;80;;1
25;0;4;80;;1
25;19;0;80;;1
25;19;4;80;;1
25;6;0;80;;1
25;6;4;80;;1
25;13;0;80;;1
25;13;4;80;;1
25;8;0;80;;1
25;8;4;80;;1
25;22;0;80;;1
25;22;4;80;;1
25;30;0;80;;1
25;30;4;80;;1
25;11;0;80;;1
25;11;4;80;;1
25;2;0;80;;1
25;2;4;80;;1
44;10;0;91;;0
45;1;0;91;;1
25;0;0;80;;0
25;0;4;80;;0
25;19;0;80;;0
25;19;4;80;;0
25;6;0;80;;0
25;6;4;80;;0
25;13;0;80;;0
25;13;4;80;;0
25;8;0;80;;0
25;8;4;80;;0
25;22;0;80;;0
25;22;4;80;;0
25;30;0;80;;0
25;30;4;80;;0
25;11;0;80;;0
25;11;4;80;;0
25;2;0;80;;0
25;2;4;80;;0
46;4;0;78;;2
47;4;0;38;;1
48;2;0;35;;1
49;4;0;47;;0
50;1;0;95;;0
51;0;0;92;;0
52;4;0;94;;1
53;14;0;71;;0
53;4;0;71;;0
54;2;0;35;;2
55;1;0;92;;0
56;0;0;92;;2
57;4;0;38;;0
58;4;0;29;;0
59;1;0;78;;2
60;31;0;71;;0
60;4;0;71;;0
61;2;0;91;;0
62;0;0;85;;0
63;5;0;91;;0
64;1;0;69;;0
65;1;0;92;;0
66;4;0;65;;1
67;43;0;41;;2
67;43;4;41;;2
67;4;0;41;;2
67;4;4;41;;2
68;4;0;22;;1
69;0;0;38;;1
69;8;0;38;;1
70;0;0;95;;1
71;2;0;69;;1
72;4;0;73;;1
69;0;0;38;;1
69;8;0;38;;1
73;23;0;92;;0
73;23;1;92;;0
73;2;0;92;;0
73;2;1;92;;0
74;4;0;95;;2
75;0;0;92;;0
76;4;0;78;;0
77;2;0;69;;1
78;10;0;14;;2
79;1;0;95;;2
80;0;0;92;;0
81;10;0;80;;0
82;4;0;92;;0
83;0;0;92;;0
84;41;0;69;;1
84;41;5;69;;1
84;41;1;69;;1
84;23;0;69;;1
84;23;5;69;;1
84;23;1;69;;1
84;24;0;69;;1
84;24;5;69;;1
84;24;1;69;;1
84;1;0;69;;1
84;1;5;69;;1
84;1;1;69;;1
85;4;0;69;;1
86;4;0;65;;0
87;0;0;78;;1
88;0;0;78;;2
89;16;0;91;;1
89;16;2;91;;1
89;1;0;91;;1
89;1;2;91;;1
90;4;0;91;;1
91;40;0;35;;0
91;40;2;35;;0
91;0;0;35;;0
91;0;2;35;;0
92;4;0;80;;0
93;10;0;94;;0
94;0;0;94;;2
95;6;0;35;;1
96;4;0;29;;0
97;1;0;78;;0
98;4;0;29;;1
99;1;0;94;;1
100;2;0;80;;0
101;10;0;66;;0
102;4;0;74;;0
103;4;0;69;;0
104;1;0;91;;0
105;4;0;38;;0
106;2;0;63;;2
107;4;0;73;;1
108;6;0;78;;2
108;6;4;78;;2
108;13;0;78;;2
108;13;4;78;;2
108;8;0;78;;2
108;8;4;78;;2
108;19;0;78;;2
108;19;4;78;;2
108;32;0;78;;2
108;32;4;78;;2
108;22;0;78;;2
108;22;4;78;;2
108;30;0;78;;2
108;30;4;78;;2
108;1;0;78;;2
108;1;4;78;;2
108;0;0;78;;2
108;0;4;78;;2
109;27;0;65;;1
109;27;2;65;;1
109;16;0;65;;1
109;16;2;65;;1
109;2;0;65;;1
109;2;2;65;;1
107;4;0;73;;1
108;6;0;78;;0
108;6;4;78;;0
108;13;0;78;;0
108;13;4;78;;0
108;8;0;78;;0
108;8;4;78;;0
108;19;0;78;;0
108;19;4;78;;0
108;32;0;78;;0
108;32;4;78;;0
108;22;0;78;;0
108;22;4;78;;0
108;30;0;78;;0
108;30;4;78;;0
108;1;0;78;;0
108;1;4;78;;0
108;0;0;78;;0
108;0;4;78;;0
110;27;0;92;;0
110;10;0;92;;0
111;12;0;78;;0
108;6;0;78;;0
108;6;4;78;;0
108;13;0;78;;0
108;13;4;78;;0
108;8;0;78;;0
108;8;4;78;;0
108;19;0;78;;0
108;19;4;78;;0
108;32;0;78;;0
108;32;4;78;;0
108;22;0;78;;0
108;22;4;78;;0
108;30;0;78;;0
108;30;4;78;;0
108;1;0;78;;0
108;1;4;78;;0
108;0;0;78;;0
108;0;4;78;;0
112;1;0;92;;0
113;1;0;63;;2
114;10;0;69;;0
114;10;4;69;;0
114;5;0;69;;0
114;5;4;69;;0
114;7;0;69;;0
114;7;4;69;;0
114;0;0;69;;0
114;0;4;69;;0
