SIRET;Code_postal;APP_Libelle_activite_etablissement;Agrement;ods_type_activite;Synthese_eval_sanit_A améliorer;Synthese_eval_sanit_A corriger de manière urgente;Synthese_eval_sanit_Satisfaisant;Synthese_eval_sanit_Très satisfaisant
30247464800789;92;Alimentation générale;1;Autres;0;0;1;0
30112032500024;69;Restaurant;1;Autres;0;0;0;1
30247464801894;92;Alimentation générale;1;Autres;0;0;0;1
30668909200022;94;Alimentation générale;1;Autres;0;0;1;0
31064217800035;92;Alimentation générale;1;Autres;0;0;1;0
30959801900052;29;Rayon pain-viennoiserie-pâtisserie;1;Autres;0;0;0;1
31162274000018;73;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
31382172000015;69;Traiteur;1;Autres;0;0;1;0
31890644300995;69;Restaurant;1;Autres;0;0;0;1
31491130600012;29;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
31875921400014;29;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
31890659101841;69;Restaurant;1;Autres;0;0;0;1
31890659100181;29;Restaurant;1;Autres;0;0;0;1
31890644301068;69;Restaurant;1;Autres;0;0;0;1
32164094800030;29;Alimentation générale;1;Autres;0;0;1;0
33361955900029;78;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
32808703600039;29;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
32365913600010;92;Alimentation générale;1;Autres;0;0;1;0
33413976300018;14;Rayon boucherie-charcuterie;1;Autres;0;0;1;0
33010560200024;92;Alimentation générale;1;Autres;0;0;0;1
32444602000038;92;Poissonnerie;1;Autres;1;0;0;0
33366133800017;92;Alimentation générale;1;Autres;1;0;0;0
33348080400090;63;Restaurant;1;Autres;0;0;1;0
33369629200023;91;Alimentation générale;1;Autres;0;0;0;1
33749127800012;69;Restaurant;1;Autres;0;0;1;0
34326262221475;80;Alimentation générale;1;Autres;0;0;0;1
33422448200029;95;Rayon poissonnerie;1;Autres;0;0;1;0
34213909400011;78;Restaurant;1;Autres;0;0;1;0
34449440600020;95;Alimentation générale;1;Autres;0;0;1;0
33798754900025;78;Restaurant;1;Autres;0;0;1;0
34382935400012;92;Alimentation générale;1;Autres;0;0;1;0
34513048821690;92;Alimentation générale;1;Autres;0;0;1;0
34001885200228;92;Alimentation générale;1;Autres;0;0;1;0
34437832800019;92;Alimentation générale;1;Autres;0;0;0;1
34525265400016;92;Alimentation générale;1;Autres;0;0;1;0
34437832800019;92;Rayon boucherie-charcuterie;1;Autres;0;0;0;1
34029254901225;71;Primeur;1;Autres;0;0;0;1
35261646000023;14;Rayon boucherie-charcuterie;1;Autres;0;0;1;0
34157439000017;73;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
35010868400019;94;Alimentation générale;1;Autres;0;0;1;0
37922490000017;92;Boucherie-Charcuterie;1;Autres;0;0;1;0
34326262221475;80;Rayon fruits & légumes;1;Autres;0;0;0;1
35055470500011;91;Boucherie-Charcuterie;1;Autres;0;0;1;0
37994146100012;91;Restaurant;1;Autres;0;0;0;1
34326262221970;94;Alimentation générale;1;Autres;0;0;1;0
35075816500046;78;Boulangerie-Pâtisserie;1;Autres;1;0;0;0
38123607400013;38;Boulangerie-Pâtisserie;1;Autres;0;0;0;1
35110069800114;47;Boulangerie-Pâtisserie;1;Autres;0;0;1;0
39291990800039;95;Restaurant;1;Autres;0;0;1;0
34932444200012;92;Alimentation générale;1;Autres;0;0;1;0
